titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
A Minecraft Movie 2,1461519,movie,en,US,English,,The second installment in the franchise. Plot TBA.
A Minecraft Movie 2,1461519,movie,es,MX,Spanish,Una segunda película de Minecraft,
A Minecraft Movie 2,1461519,movie,uk,UA,Ukrainian,Minecraft: Фільм 2,"Стів та Алекс вирушають далі у Надземний світ, відкриваючи незвідані території та стикаючись з новими викликами."
A Minecraft Movie 2,1461519,movie,pt,PT,Portuguese,"Sem Título, Um Filme Minecraft, continuação",
A Minecraft Movie 2,1461519,movie,pl,PL,Polish,,
A Minecraft Movie 2,1461519,movie,vi,VN,Vietnamese,Minecraft: Phần 2,
A Minecraft Movie 2,1461519,movie,ko,KR,Korean,마인크래프트 무비 2,
A Minecraft Movie 2,1461519,movie,es,ES,Spanish,,
