titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Jumanji 3,1260649,movie,en,US,English,,The third film in the Jumanji reboot franchise. Plot TBA.
Jumanji 3,1260649,movie,vi,VN,Vietnamese,Jumanji: Hồi Kết,
Jumanji 3,1260649,movie,ko,KR,Korean,쥬만지 3,
Jumanji 3,1260649,movie,fr,FR,French,,
Jumanji 3,1260649,movie,sk,SK,Slovak,JUMANJI 3,
Jumanji 3,1260649,movie,uk,UA,Ukrainian,,
Jumanji 3,1260649,movie,pt,BR,Portuguese,,
Jumanji 3,1260649,movie,tr,TR,Turkish,,
Jumanji 3,1260649,movie,ru,RU,Russian,Джуманджи 3,
